No.	Accession	Taxon name
349	GCA_000158455.1	Helicobacter winghamensis
350	GCA_000158655.1	Clostridium methylpentosum
351	GCA_000158775.1	Brucella ceti
352	GCA_000158915.1	Streptomyces himastatinicus
353	GCA_000159015.1	Gleimia coleocanis
354	GCA_000159035.1	Actinomyces urogenitalis
355	GCA_000159095.1	Anaerococcus tetradius
356	GCA_000159115.1	Corynebacterium accolens
357	GCA_000159215.1	Lactobacillus fermentum
358	GCA_000159315.1	Lactobacillus hilgardii
359	GCA_000159355.1	Lactobacillus johnsonii
360	GCA_000159415.1	Lactobacillus ultunensis
361	GCA_000159435.1	Lactobacillus vaginalis
362	GCA_000159595.1	Corynebacterium glucuronolyticum
363	GCA_000159635.1	Corynebacterium lipophiloflavum
364	GCA_000159995.1	Alloprevotella tannerae
365	GCA_000160015.1	Veillonella dispar
366	GCA_000160055.1	Dialister invisus
367	GCA_000160095.1	Hungatella hathewayi
368	GCA_000160435.1	Kingella oralis
369	GCA_000160455.2	Acetomicrobium hydrogeniformans
370	GCA_000160475.1	Fusobacterium periodonticum
371	GCA_000160535.1	Prevotella bergensis
372	GCA_000160555.1	Selenomonas noxia
373	GCA_000160575.1	Weissella paramesenteroides
374	GCA_000160595.1	Leuconostoc mesenteroides subsp. cremoris
375	GCA_000160655.1	Cardiobacterium hominis
376	GCA_000160675.1	Granulicatella adiacens
377	GCA_000160695.1	Selenomonas flueggei
378	GCA_000160755.1	Proteus mirabilis
379	GCA_000160775.2	Aeromicrobium marinum
380	GCA_000160815.2	Erysipelothrix rhusiopathiae
381	GCA_000160835.1	Lactobacillus antri
382	GCA_000160855.1	Lactobacillus helveticus
383	GCA_000161455.1	Bacillus pseudomycoides
384	GCA_000161615.1	Bacillus thuringiensis
385	GCA_000162475.2	Granulicatella elegans
386	GCA_000162575.1	Helicobacter canadensis
387	GCA_000162755.2	Legionella drancourtii
388	GCA_000163295.1	Anaerococcus vaginalis
389	GCA_000163455.1	Klebsiella pneumoniae subsp. rhinoscleromatis
390	GCA_000164095.1	Streptococcus oralis subsp. oralis
391	GCA_000164135.1	Mycobacterium parascrofulaceum
392	GCA_000164635.1	Roseomonas cervicalis
393	GCA_000164675.2	Streptococcus parasanguinis
394	GCA_000164695.2	Rothia dentocariosa
395	GCA_000164865.1	Enterobacter lignolyticus
396	GCA_000165125.2	Vibrio caribbeanicus
397	GCA_000165465.1	Halanaerobium praevalens
398	GCA_000166055.1	Rhodomicrobium vannielii
399	GCA_000166135.1	Frankia inefficax
400	GCA_000166195.3	Mucilaginibacter paludis
401	GCA_000166275.1	Algoriphagus machipongonensis
402	GCA_000166295.1	Marinobacter adhaerens
403	GCA_000166335.1	Caldicellulosiruptor owensensis
404	GCA_000166355.1	Caldicellulosiruptor hydrothermalis
405	GCA_000166415.1	Halanaerobium hydrogeniformans
406	GCA_000166695.1	Caldicellulosiruptor kristjanssonii
407	GCA_000166715.2	Leuconostoc gelidum subsp. gelidum
408	GCA_000166775.1	Caldicellulosiruptor kronotskyensis
409	GCA_000166935.1	Rickettsia sibirica
410	GCA_000167355.1	Desulfuromonas acetoxidans
411	GCA_000167975.1	Yersinia bercovieri
412	GCA_000167995.1	Yersinia mollaretii
413	GCA_000168035.1	Yersinia intermedia
414	GCA_000168975.1	Labrenzia aggregata
415	GCA_000169235.1	Dorea formicigenerans
416	GCA_000169255.2	Pseudoflavonifractor capillosus
417	GCA_000170835.1	Marinobacter algicola
418	GCA_000170955.2	Borreliella valaisiana
419	GCA_000171615.1	Bacillus coahuilensis
420	GCA_000172095.1	Sulfitobacter indolifex
421	GCA_000172175.1	Bacteroides intestinalis
422	GCA_000172635.2	Alteromonas macleodii
423	GCA_000172975.1	Dethiosulfovibrio peptidovorans
424	GCA_000173355.1	Anaerococcus hydrogenalis
425	GCA_000173735.1	Yersinia aldovae
426	GCA_000173775.1	Yersinia rohdei
427	GCA_000173895.1	Neisseria cinerea
428	GCA_000173915.1	Gemella haemolysans
429	GCA_000174035.1	Mycobacterium avium subsp. avium
430	GCA_000174195.1	Roseburia inulinivorans
431	GCA_000174655.1	Neisseria sicca
432	GCA_000174755.1	Capnocytophaga gingivalis
433	GCA_000175195.1	Actinobacillus minor
434	GCA_000175215.2	Asticcacaulis excentricus
435	GCA_000175295.2	Thermoanaerobacter brockii subsp. finnii
436	GCA_000175375.1	Corynebacterium matruchotii
437	GCA_000175575.2	Acidithiobacillus caldus
438	GCA_000175615.1	Rothia mucilaginosa
439	GCA_000175655.1	Campylobacter showae
440	GCA_000175795.2	Ruminiclostridium papyrosolvens
441	GCA_000175895.1	Treponema vincentii
442	GCA_000176035.2	Mesorhizobium opportunistum
443	GCA_000176135.1	Vibrio coralliilyticus
444	GCA_000176235.1	Vibrio orientalis
445	GCA_000176715.1	Vibrio parilis
446	GCA_000176735.1	Neisseria polysaccharea
447	GCA_000176795.1	Photobacterium damselae subsp. damselae
448	GCA_000176855.2	Acidovorax avenae
449	GCA_000176915.2	Pseudodesulfovibrio aespoeensis
450	GCA_000177235.2	Bacillus cellulosilyticus
451	GCA_000177375.1	Bulleidia extructa
452	GCA_000177535.2	Corynebacterium resistens
453	GCA_000178375.1	Mycoplasmopsis alligatoris
454	GCA_000178455.1	Brevibacterium mcbrellneri
455	GCA_000178835.2	Cellulosilyticum lentocellum
456	GCA_000178955.2	Granulicella mallensis
457	GCA_000178975.2	Granulicella tundricola
458	GCA_000179555.1	Desulfovibrio fructosivorans
459	GCA_000179595.2	Hungateiclostridium cellulolyticum
460	GCA_000179615.1	Paenibacillus curdlanolyticus
461	GCA_000179635.2	Ruminococcus albus
462	GCA_000179915.2	Terriglobus saanensis
463	GCA_000181535.1	Vibrio shilonii
464	GCA_000181895.2	Borreliella spielmanii
465	GCA_000182725.1	Brucella inopinata
466	GCA_000182745.1	Komagataeibacter medellinensis
467	GCA_000182945.1	Fusobacterium nucleatum subsp. vincentii
468	GCA_000183135.1	Paludibacter propionicigenes
469	GCA_000183325.2	Corynebacterium bovis
470	GCA_000183365.1	Mycoplasma leachii
471	GCA_000183385.1	Mycoplasmopsis bovis
472	GCA_000183425.1	Marivirga tractuosa
473	GCA_000183825.1	Lactobacillus animalis
474	GCA_000183865.1	Listeria marthii
475	GCA_000184685.1	Intrasporangium calvum
476	GCA_000184705.1	Thermaerobacter marianensis
477	GCA_000184945.1	Prevotella buccae
478	GCA_000185085.2	Leuconostoc lactis
479	GCA_000185145.2	Prevotella oralis
480	GCA_000185365.1	Enterococcus italicus
481	GCA_000185385.1	Lachnoanaerobaculum saburreum
482	GCA_000185465.1	Lactobacillus fructivorans
483	GCA_000185725.2	Segniliparus rugosus
484	GCA_000185805.1	Thermovibrio ammonificans
485	GCA_000185845.1	Prevotella salivae
486	GCA_000186225.1	Bacteroides helcogenes
487	GCA_000186265.1	Cellulophaga algicola
488	GCA_000186385.1	Deinococcus maricopensis
489	GCA_000186885.1	Desulfobulbus propionicus
490	GCA_000187105.1	Treponema phagedenis
491	GCA_000187465.1	Streptococcus infantis
492	GCA_000187585.1	Streptococcus peroris
493	GCA_000187625.1	Helicobacter suis
494	GCA_000187895.1	Bacteroides plebeius
495	GCA_000187935.2	Streptococcus parauberis
496	GCA_000187975.3	Streptococcus criceti
497	GCA_000187995.3	Streptococcus macacae
498	GCA_000188015.3	Streptococcus ictaluri
499	GCA_000188035.3	Streptococcus pseudoporcinus
500	GCA_000188055.3	Streptococcus urinalis
501	GCA_000188175.1	Phascolarctobacterium succinatutens
502	GCA_000188255.1	Actinobacillus ureae
503	GCA_000188295.1	Streptococcus vestibularis
504	GCA_000189255.2	Vibrio brasiliensis
505	GCA_000189415.1	Weeksella virosa
506	GCA_000189535.1	Pseudarthrobacter phenanthrenivorans
507	GCA_000189755.3	Desulfotomaculum nigrificans
508	GCA_000190435.1	Sphaerochaeta globosa
509	GCA_000190475.2	Ornithinibacillus scapharcae
510	GCA_000190555.1	Deinococcus proteolyticus
511	GCA_000190575.1	Bacteroides salanitronis
512	GCA_000190595.1	Cellulophaga lytica
513	GCA_000191045.1	Desulfurobacterium thermolithotrophum
514	GCA_000191065.1	Prevotella multiformis
515	GCA_000192435.2	Gordonia neofelifaecis
516	GCA_000192575.1	Novosphingobium nitrogenifigens
517	GCA_000192865.1	Marinomonas mediterranea
518	GCA_000193435.3	Caldicellulosiruptor lactoaceticus
519	GCA_000193635.2	Weissella cibaria
520	GCA_000194135.1	Hippea maritima
521	GCA_000194925.1	Neisseria bacilliformis
522	GCA_000194985.1	Dialister micraerophilus
523	GCA_000195005.1	Haemophilus aegyptius
524	GCA_000195275.1	Treponema succinifaciens
525	GCA_000195315.1	Coriobacterium glomerans
526	GCA_000195635.1	Bacteroides fluxus
527	GCA_000195755.1	Desulfovibrio vulgaris
528	GCA_000195955.2	Mycobacterium tuberculosis
529	GCA_000196015.1	Cupriavidus metallidurans
530	GCA_000196115.1	Rhodopirellula baltica
531	GCA_000196175.1	Bdellovibrio bacteriovorus
532	GCA_000196275.1	Deinococcus geothermalis
533	GCA_000196355.1	Nitrosospira multiformis
534	GCA_000196435.1	Bartonella tribocorum
535	GCA_000196455.1	Acetoanaerobium sticklandii
536	GCA_000196555.1	Bifidobacterium longum subsp. longum
537	GCA_000196675.1	Pseudonocardia dioxanivorans
538	GCA_000196735.1	Bacillus amyloliquefaciens
539	GCA_000196795.1	Acinetobacter oleivorans
540	GCA_000196855.1	Leuconostoc gelidum subsp. gasicomitatum
541	GCA_000196875.2	Halomonas elongata
542	GCA_000197735.1	Glutamicibacter arilaitensis
543	GCA_000198775.1	Mycetohabitans rhizoxinica
544	GCA_000199675.1	Anaerolinea thermophila
545	GCA_000200595.1	Helicobacter felis
546	GCA_000202835.1	Acidiphilium multivorum
547	GCA_000204015.1	Asticcacaulis biprosthecium
548	GCA_000204135.1	Chlamydia pecorum
549	GCA_000204155.1	Micromonospora maris
550	GCA_000204195.2	Acidovorax radicis
551	GCA_000204235.2	Propionibacterium humerusii
552	GCA_000204255.1	Chlamydia psittaci
553	GCA_000204645.1	Alicycliphilus denitrificans
554	GCA_000205025.1	Parasutterella excrementihominis
555	GCA_000208385.1	Sphaerochaeta coccoides
556	GCA_000208405.1	Selenomonas sputigena
557	GCA_000209735.1	Mycoplasmopsis fermentans
558	GCA_000210055.1	Gordonibacter pamelaeae
559	GCA_000210075.1	Bacteroides xylanisolvens
560	GCA_000210095.1	Ruminococcus champanellensis
561	GCA_000210575.1	Alistipes shahii
562	GCA_000211415.1	Enterobacter mori
563	GCA_000212375.1	Porphyromonas asaccharolytica
